hora_do_dia,dia_semana,tipo_endereco,taxa_historica_cep,peso_kg,volume_l,chuva_mm,temperatura_c,tentativas_anteriores,motorista_experiente,probabilidade_verdadeira,rotulo_invertido,falhou
20,TUESDAY,CONDOMINIO,0.2500,2.55,29.48,0.1,18.0,0,0,0.319987,0,0
13,WEDNESDAY,RESIDENCIAL,0.0800,4.63,80.02,0.0,17.3,1,1,0.154704,0,0
21,WEDNESDAY,CONDOMINIO,0.0600,4.12,55.15,0.0,21.3,0,0,0.212420,1,0
15,SATURDAY,COMERCIAL,0.1200,1.20,23.81,0.0,13.0,0,0,0.271948,0,1
10,MONDAY,COMERCIAL,0.2500,4.94,49.91,0.0,19.6,0,1,0.105754,0,0
16,WEDNESDAY,COMERCIAL,0.1200,7.13,36.67,0.0,15.5,0,1,0.076911,0,0
9,MONDAY,COMERCIAL,0.0900,1.70,28.31,14.5,22.1,3,0,0.833445,0,1
15,SATURDAY,COMERCIAL,0.1100,0.97,45.98,0.0,12.0,0,1,0.180668,0,1
10,MONDAY,RESIDENCIAL,0.1900,2.15,48.85,0.0,18.1,0,0,0.097189,0,0
15,FRIDAY,RESIDENCIAL,0.1200,1.01,20.76,8.3,22.4,0,1,0.076547,0,0
9,WEDNESDAY,CONDOMINIO,0.2200,1.21,34.93,0.0,25.7,0,1,0.105644,0,0
15,WEDNESDAY,RESIDENCIAL,0.1100,2.33,52.14,0.0,22.8,2,1,0.368842,0,0
8,TUESDAY,COMERCIAL,0.3100,2.58,27.50,4.9,26.2,2,1,0.624572,0,1
12,TUESDAY,RESIDENCIAL,0.0800,1.64,29.90,7.9,22.8,0,0,0.113257,0,0
9,SUNDAY,COMERCIAL,0.2500,3.87,33.44,0.3,22.5,2,1,0.776261,0,0
11,MONDAY,RESIDENCIAL,0.1100,3.36,43.36,0.0,25.6,3,0,0.712886,0,0
17,WEDNESDAY,COMERCIAL,0.0600,23.03,250.00,0.0,20.3,0,1,0.201290,0,1
13,MONDAY,COMERCIAL,0.2500,1.99,46.28,5.1,18.4,0,0,0.228354,0,0
12,WEDNESDAY,RESIDENCIAL,0.1100,4.10,56.62,11.6,18.6,0,1,0.096475,0,1
15,SUNDAY,RESIDENCIAL,0.0500,0.77,22.53,1.5,13.1,0,1,0.033533,0,0
16,SUNDAY,COMERCIAL,0.2500,4.14,64.96,0.0,17.1,0,0,0.463898,0,0
8,SUNDAY,RESIDENCIAL,0.0500,0.30,20.12,0.0,28.0,0,0,0.054577,0,0
2,SATURDAY,RURAL,0.2800,2.54,50.84,0.0,31.3,0,1,0.281478,0,0
10,THURSDAY,RURAL,0.2800,3.12,68.04,0.0,24.5,1,1,0.403756,0,1
15,SUNDAY,RESIDENCIAL,0.0800,2.17,20.76,0.0,14.3,0,1,0.037087,0,0
8,THURSDAY,RESIDENCIAL,0.1900,0.57,22.57,3.8,21.1,0,0,0.105037,0,0
13,SATURDAY,COMERCIAL,0.1200,3.17,43.46,0.0,15.7,0,1,0.205395,0,0
2,FRIDAY,RESIDENCIAL,0.0900,9.70,143.27,0.7,26.9,1,1,0.330722,0,0
8,MONDAY,RESIDENCIAL,0.0900,1.24,12.38,0.0,19.9,1,1,0.098724,0,0
19,SUNDAY,CONDOMINIO,0.2800,3.67,30.12,2.4,22.0,0,0,0.372906,0,1
10,SUNDAY,CONDOMINIO,0.0800,0.99,12.75,6.3,19.4,0,1,0.061068,0,0
13,SUNDAY,RESIDENCIAL,0.0600,2.08,19.30,0.0,20.9,0,0,0.065204,0,0
10,FRIDAY,COMERCIAL,0.2200,5.57,22.91,0.0,23.0,0,0,0.150701,0,0
6,MONDAY,RESIDENCIAL,0.2500,3.74,47.74,5.8,25.3,0,1,0.109239,0,0
16,THURSDAY,COMERCIAL,0.2500,3.28,61.38,0.0,24.1,0,1,0.143014,0,0
19,WEDNESDAY,COMERCIAL,0.2800,4.91,48.86,0.3,20.1,1,1,0.488425,0,1
9,FRIDAY,RURAL,0.1900,3.06,87.50,0.0,22.3,0,1,0.139734,0,0
20,WEDNESDAY,RESIDENCIAL,0.1100,6.14,68.71,4.1,23.0,0,0,0.224931,0,0
14,THURSDAY,RESIDENCIAL,0.1500,1.55,10.52,0.0,19.6,0,1,0.055873,0,0
15,FRIDAY,RESIDENCIAL,0.0600,6.19,60.91,0.0,14.3,1,0,0.209886,0,0
14,FRIDAY,CONDOMINIO,0.1900,4.25,42.82,18.9,17.4,0,1,0.228999,0,0
7,TUESDAY,RURAL,0.1900,6.76,44.75,0.0,19.5,2,0,0.689546,0,1
15,SATURDAY,RESIDENCIAL,0.1900,0.78,23.28,0.0,17.1,0,0,0.096618,0,0
17,SUNDAY,RESIDENCIAL,0.0800,1.57,5.18,0.0,17.3,0,1,0.036473,0,0
6,THURSDAY,COMERCIAL,0.1200,4.01,29.34,4.0,28.6,1,1,0.214099,0,1
13,THURSDAY,COMERCIAL,0.2800,1.14,15.17,0.0,19.9,1,1,0.290528,0,1
10,FRIDAY,COMERCIAL,0.0900,0.82,11.73,0.0,23.2,0,0,0.082521,0,0
7,TUESDAY,RESIDENCIAL,0.3100,0.74,27.25,0.0,23.5,0,0,0.146478,0,0
11,WEDNESDAY,CONDOMINIO,0.2200,2.18,29.16,0.0,23.5,0,0,0.163987,0,1
14,THURSDAY,RESIDENCIAL,0.0600,2.86,57.35,0.0,13.3,0,0,0.072891,0,0
17,WEDNESDAY,RESIDENCIAL,0.1500,4.01,74.52,16.4,18.4,0,1,0.142379,0,0
9,MONDAY,COMERCIAL,0.3100,3.35,82.21,0.0,25.5,1,0,0.490649,0,1
23,TUESDAY,RESIDENCIAL,0.0900,3.93,38.30,0.0,23.1,0,0,0.127133,0,1
6,THURSDAY,COMERCIAL,0.2500,1.23,11.99,3.9,31.2,0,1,0.122197,0,0
14,SUNDAY,COMERCIAL,0.3100,15.21,129.56,24.8,19.1,0,0,0.856496,0,1
7,TUESDAY,COMERCIAL,0.0600,2.40,69.66,0.0,29.7,1,1,0.171170,0,0
7,SATURDAY,COMERCIAL,0.2500,2.65,34.50,0.0,29.4,0,0,0.423664,1,1
8,THURSDAY,CONDOMINIO,0.1500,1.58,27.81,0.0,25.3,0,1,0.079933,0,0
10,FRIDAY,RESIDENCIAL,0.0800,5.12,19.40,0.0,23.8,0,0,0.069241,0,0
13,TUESDAY,COMERCIAL,0.1100,5.91,88.09,3.8,18.1,0,1,0.106511,0,0
11,FRIDAY,RESIDENCIAL,0.2500,0.80,7.54,1.7,21.2,2,1,0.401471,0,0
13,WEDNESDAY,CONDOMINIO,0.0500,0.95,17.95,0.0,19.1,1,0,0.245557,0,0
13,FRIDAY,RESIDENCIAL,0.1900,16.64,163.48,7.9,20.6,1,1,0.449527,0,1
14,FRIDAY,CONDOMINIO,0.2200,1.94,21.21,0.0,14.7,2,1,0.514331,0,0
9,FRIDAY,COMERCIAL,0.0800,2.34,19.94,0.0,22.8,0,0,0.084267,0,0
8,FRIDAY,RESIDENCIAL,0.2200,2.99,68.72,4.7,28.6,0,1,0.105565,0,0
17,THURSDAY,RESIDENCIAL,0.1200,1.35,48.07,0.0,21.3,0,1,0.059080,0,1
6,TUESDAY,RESIDENCIAL,0.1900,2.06,41.97,2.3,30.7,1,1,0.205361,0,0
9,MONDAY,COMERCIAL,0.2800,3.87,50.27,0.0,17.1,1,0,0.391700,0,0
10,SATURDAY,CONDOMINIO,0.3100,2.14,41.99,0.0,22.6,0,0,0.208080,0,0
21,WEDNESDAY,RESIDENCIAL,0.1200,2.93,41.03,0.0,27.4,0,0,0.184729,0,0
12,SUNDAY,RESIDENCIAL,0.2800,2.56,25.98,7.8,20.7,1,1,0.300046,0,0
13,TUESDAY,COMERCIAL,0.3100,5.66,114.78,0.0,18.8,0,0,0.302931,0,1
14,WEDNESDAY,CONDOMINIO,0.2200,0.92,21.18,0.0,20.5,0,0,0.182086,0,0
13,WEDNESDAY,COMERCIAL,0.1900,19.63,101.23,0.0,19.5,0,0,0.268091,0,1
17,SUNDAY,CONDOMINIO,0.1100,3.59,67.77,0.0,14.8,0,1,0.079207,0,0
11,SATURDAY,RESIDENCIAL,0.0900,5.60,76.92,0.0,20.5,0,0,0.077107,0,0
9,THURSDAY,RESIDENCIAL,0.1500,2.79,70.54,6.4,29.1,1,0,0.336688,0,0
11,TUESDAY,CONDOMINIO,0.2800,1.95,20.54,0.0,25.4,1,1,0.301305,0,0
6,WEDNESDAY,RESIDENCIAL,0.2500,3.05,26.04,0.0,35.4,0,0,0.152958,0,1
6,THURSDAY,RESIDENCIAL,0.1500,3.08,54.96,12.1,34.3,2,1,0.544219,0,1
11,WEDNESDAY,COMERCIAL,0.0800,1.03,25.21,0.0,14.2,0,1,0.042314,0,0
10,WEDNESDAY,RESIDENCIAL,0.3100,2.61,32.09,7.7,20.2,0,1,0.122831,0,0
13,TUESDAY,COMERCIAL,0.0900,1.69,30.84,0.0,16.2,0,0,0.099715,0,0
16,SUNDAY,CONDOMINIO,0.2800,3.65,58.87,0.0,17.0,0,0,0.229123,0,0
20,FRIDAY,COMERCIAL,0.0500,4.59,58.31,2.4,23.3,0,0,0.209489,0,1
15,THURSDAY,CONDOMINIO,0.1100,1.69,31.65,0.0,19.3,0,1,0.079063,0,0
8,FRIDAY,RESIDENCIAL,0.2800,2.98,56.12,0.0,18.7,0,0,0.140999,0,0
1,WEDNESDAY,COMERCIAL,0.0800,9.22,40.16,7.7,27.3,1,1,0.366709,0,0
6,FRIDAY,CONDOMINIO,0.2200,6.41,83.72,10.7,31.7,2,1,0.729212,0,0
12,TUESDAY,RESIDENCIAL,0.1500,2.65,60.53,0.0,23.9,0,0,0.123075,0,0
8,MONDAY,RESIDENCIAL,0.0500,3.15,43.69,0.0,25.2,0,1,0.039449,0,0
6,FRIDAY,RESIDENCIAL,0.0800,3.01,36.62,0.0,23.9,0,0,0.070419,1,1
9,TUESDAY,CONDOMINIO,0.2500,1.57,25.31,0.0,23.1,0,1,0.109339,0,0
3,WEDNESDAY,RESIDENCIAL,0.0800,0.87,34.88,0.0,23.2,0,1,0.068835,0,0
13,MONDAY,COMERCIAL,0.1500,2.07,43.08,2.6,22.4,0,0,0.159637,0,0
20,WEDNESDAY,CONDOMINIO,0.1500,0.72,6.38,3.2,23.4,0,1,0.168755,0,0
16,FRIDAY,COMERCIAL,0.2500,4.27,79.54,0.0,17.7,0,0,0.219071,0,0
8,THURSDAY,COMERCIAL,0.0600,1.25,31.09,0.0,24.5,1,0,0.211753,0,0
15,WEDNESDAY,CONDOMINIO,0.2800,1.70,32.80,0.0,21.0,0,1,0.149784,0,0
16,THURSDAY,CONDOMINIO,0.3100,2.03,43.19,0.0,15.1,0,1,0.156502,0,0
7,SATURDAY,RESIDENCIAL,0.2500,2.18,95.56,0.0,28.9,0,0,0.156400,0,0
16,SUNDAY,COMERCIAL,0.1200,6.67,37.82,0.0,14.3,2,0,0.807528,0,1
9,MONDAY,COMERCIAL,0.1100,0.75,14.56,0.0,26.8,0,1,0.057486,0,0
8,SUNDAY,RESIDENCIAL,0.0800,0.63,10.29,0.0,23.8,0,0,0.054832,0,0
14,SUNDAY,RESIDENCIAL,0.2800,0.72,23.77,0.0,18.9,1,1,0.216036,0,0
9,WEDNESDAY,RESIDENCIAL,0.0900,4.82,38.31,3.1,28.7,0,0,0.095112,0,0
8,WEDNESDAY,CONDOMINIO,0.0900,1.35,31.33,0.0,26.8,0,1,0.066302,0,1
18,SUNDAY,RESIDENCIAL,0.2500,2.33,53.11,5.2,24.7,0,0,0.299158,0,0
19,SATURDAY,COMERCIAL,0.0600,5.75,95.90,0.7,24.8,0,1,0.376331,0,0
5,MONDAY,RESIDENCIAL,0.1200,19.25,250.00,2.4,27.5,1,1,0.542212,0,1
8,SATURDAY,RESIDENCIAL,0.2200,4.33,29.02,8.4,24.3,0,0,0.150374,0,0
17,MONDAY,RESIDENCIAL,0.1100,3.35,31.68,0.0,20.4,0,1,0.055121,0,0
18,THURSDAY,RESIDENCIAL,0.0900,4.57,71.32,1.2,16.7,0,1,0.104101,0,0
16,THURSDAY,RESIDENCIAL,0.2500,0.55,16.19,0.0,19.9,1,1,0.210238,0,0
19,SATURDAY,CONDOMINIO,0.1200,14.71,113.08,9.4,26.5,1,1,0.599425,0,0
21,WEDNESDAY,COMERCIAL,0.0600,3.53,66.44,6.1,27.2,0,1,0.169737,0,0
13,SATURDAY,CONDOMINIO,0.0800,4.26,42.03,0.0,17.3,0,1,0.068537,0,1
9,MONDAY,RESIDENCIAL,0.3100,2.78,66.01,0.0,22.7,1,0,0.384034,0,0
3,WEDNESDAY,RESIDENCIAL,0.0800,7.61,77.21,0.0,28.0,1,0,0.372639,0,1
7,SATURDAY,CONDOMINIO,0.0800,12.00,98.46,0.0,35.5,0,0,0.178556,0,0
7,FRIDAY,RESIDENCIAL,0.0800,2.36,19.06,18.6,20.2,0,0,0.129684,0,1
13,FRIDAY,COMERCIAL,0.0900,1.52,42.80,0.0,17.1,0,1,0.063637,0,0
17,FRIDAY,COMERCIAL,0.0900,2.69,40.43,0.0,21.9,2,0,0.544127,0,1
6,TUESDAY,CONDOMINIO,0.1500,7.06,107.98,2.6,28.5,0,0,0.221908,0,0
20,SATURDAY,RESIDENCIAL,0.1500,2.67,43.59,1.6,19.6,1,0,0.390576,0,1
11,MONDAY,CONDOMINIO,0.1100,17.41,161.79,0.0,24.2,0,0,0.241662,0,1
8,TUESDAY,COMERCIAL,0.1900,3.82,32.70,0.0,26.7,0,0,0.144340,0,0
8,SUNDAY,RESIDENCIAL,0.3100,1.17,36.95,17.4,27.3,0,1,0.181837,0,0
10,THURSDAY,CONDOMINIO,0.1500,2.77,43.46,0.0,28.9,0,1,0.092885,0,0
21,SUNDAY,RESIDENCIAL,0.1900,4.49,46.25,10.1,22.3,0,1,0.191197,1,1
10,SUNDAY,CONDOMINIO,0.0500,10.79,85.69,0.0,25.7,0,0,0.127473,0,0
8,SUNDAY,RESIDENCIAL,0.2500,2.50,19.09,0.0,23.1,1,0,0.269111,0,0
10,SUNDAY,RURAL,0.2200,2.14,30.87,3.6,18.8,1,0,0.424331,0,0
16,FRIDAY,RESIDENCIAL,0.0600,3.39,81.55,17.7,14.1,1,1,0.255299,0,1
8,MONDAY,COMERCIAL,0.2800,2.26,46.02,11.7,27.8,0,1,0.196720,0,0
17,MONDAY,RESIDENCIAL,0.1100,2.58,19.65,0.0,22.4,0,1,0.053713,0,0
10,TUESDAY,CONDOMINIO,0.0800,2.81,26.98,0.0,26.1,0,0,0.106231,0,0
12,TUESDAY,RESIDENCIAL,0.0800,0.72,25.23,0.0,18.3,0,0,0.072758,0,1
12,FRIDAY,CONDOMINIO,0.0900,8.80,48.45,2.7,22.4,1,1,0.267626,0,1
13,SUNDAY,RESIDENCIAL,0.1100,1.63,31.68,6.4,18.5,0,0,0.101148,0,0
7,MONDAY,RESIDENCIAL,0.1200,0.63,20.39,0.0,29.0,1,1,0.130938,1,0
14,WEDNESDAY,COMERCIAL,0.2200,2.00,11.74,0.0,14.3,0,0,0.143436,0,0
14,TUESDAY,RESIDENCIAL,0.1100,7.67,139.13,0.0,17.6,0,1,0.086295,0,1
16,TUESDAY,COMERCIAL,0.0900,3.90,53.02,0.0,12.0,0,1,0.063541,0,0
16,MONDAY,RESIDENCIAL,0.0500,1.93,12.02,0.0,12.0,0,0,0.056590,0,0
7,SUNDAY,CONDOMINIO,0.0900,11.26,54.82,0.0,28.1,0,1,0.084926,0,0
7,SATURDAY,COMERCIAL,0.1900,5.89,36.41,0.0,25.9,0,1,0.253674,0,1
18,SATURDAY,COMERCIAL,0.2800,2.38,59.33,0.0,15.5,0,1,0.481713,0,1
15,SATURDAY,RESIDENCIAL,0.1100,3.95,14.77,0.0,17.1,0,1,0.044780,0,0
2,THURSDAY,RESIDENCIAL,0.1500,1.47,22.56,0.0,29.6,0,1,0.097000,0,0
8,THURSDAY,CONDOMINIO,0.1500,8.40,51.38,0.0,23.3,2,0,0.629838,0,1
9,WEDNESDAY,COMERCIAL,0.1200,4.84,92.72,2.1,22.2,0,0,0.143119,0,0
22,FRIDAY,RURAL,0.1900,4.34,49.60,0.0,25.7,1,0,0.594090,0,1
18,MONDAY,RESIDENCIAL,0.1900,2.62,16.00,0.0,20.9,1,1,0.290594,0,0
13,SATURDAY,CONDOMINIO,0.0800,3.04,36.31,0.0,19.2,0,1,0.067562,0,0
20,TUESDAY,CONDOMINIO,0.2200,3.16,50.19,0.0,23.8,0,1,0.228952,0,0
11,TUESDAY,COMERCIAL,0.1100,2.80,53.92,0.0,18.3,0,0,0.099006,0,1
15,TUESDAY,CONDOMINIO,0.1200,1.87,26.99,0.0,18.0,0,0,0.129511,0,0
6,FRIDAY,RESIDENCIAL,0.2800,9.57,71.99,0.0,24.7,1,1,0.287248,0,0
8,SUNDAY,COMERCIAL,0.0500,4.68,56.27,0.0,25.0,1,1,0.375681,0,0
8,MONDAY,RESIDENCIAL,0.2500,1.79,39.12,0.0,24.6,0,0,0.129344,0,0
10,SATURDAY,RESIDENCIAL,0.0500,1.23,64.14,0.0,23.4,0,1,0.035754,0,0
11,FRIDAY,RESIDENCIAL,0.1500,0.86,7.42,0.0,24.5,0,1,0.047029,0,0
10,THURSDAY,RURAL,0.1900,2.49,37.78,4.9,27.0,0,1,0.152370,0,0
7,THURSDAY,RESIDENCIAL,0.1900,0.97,38.00,0.0,26.9,2,0,0.518554,0,1
8,WEDNESDAY,RESIDENCIAL,0.3100,1.70,57.33,0.0,23.6,1,0,0.373746,0,0
3,FRIDAY,RESIDENCIAL,0.0600,0.84,16.23,1.1,28.0,0,1,0.068206,0,0
20,WEDNESDAY,CONDOMINIO,0.0900,1.19,25.79,12.4,24.9,1,1,0.449896,0,1
13,THURSDAY,COMERCIAL,0.1900,1.49,24.22,0.0,16.9,0,1,0.085656,0,0
17,WEDNESDAY,RESIDENCIAL,0.0800,7.96,60.79,2.2,18.7,0,1,0.065080,0,0
13,TUESDAY,RURAL,0.2500,5.06,67.56,0.0,16.7,0,1,0.187055,0,1
12,SATURDAY,COMERCIAL,0.1200,1.85,52.54,0.0,17.2,0,1,0.210887,0,0
17,FRIDAY,RURAL,0.3100,6.72,98.83,0.6,16.6,2,1,0.761754,0,1
12,SUNDAY,CONDOMINIO,0.0800,1.98,46.38,0.0,18.8,0,1,0.067927,0,0
13,TUESDAY,RESIDENCIAL,0.2800,3.17,18.87,0.0,16.4,0,1,0.091349,0,0
18,WEDNESDAY,RURAL,0.2500,5.65,88.74,8.5,19.4,0,0,0.553966,0,0
8,TUESDAY,COMERCIAL,0.2800,1.72,34.40,0.0,27.5,1,1,0.289174,0,1
9,SATURDAY,RESIDENCIAL,0.1100,9.48,150.86,0.0,23.3,1,0,0.298687,0,1
16,FRIDAY,RESIDENCIAL,0.0900,5.02,64.13,0.0,12.0,0,1,0.051272,0,0
8,TUESDAY,COMERCIAL,0.0600,3.36,39.87,0.8,27.5,0,1,0.058386,0,0
11,SATURDAY,RESIDENCIAL,0.1900,1.93,32.18,0.0,18.5,0,1,0.050067,1,1
12,MONDAY,CONDOMINIO,0.1100,1.83,14.96,0.0,18.9,1,0,0.293922,0,0
7,FRIDAY,COMERCIAL,0.1900,2.71,50.01,7.9,31.4,0,0,0.216071,0,1
11,WEDNESDAY,RESIDENCIAL,0.3100,2.50,29.54,0.0,14.0,1,1,0.205978,0,0
16,SATURDAY,CONDOMINIO,0.1900,3.65,51.01,0.0,13.9,1,1,0.246622,0,1
19,WEDNESDAY,COMERCIAL,0.2500,1.94,35.71,0.0,22.3,0,0,0.307324,0,1
20,SUNDAY,RESIDENCIAL,0.1900,4.55,69.94,0.0,19.1,0,0,0.211736,0,0
14,FRIDAY,CONDOMINIO,0.1100,4.60,83.79,0.0,16.4,0,1,0.096927,0,0
8,SUNDAY,COMERCIAL,0.0900,2.08,34.08,0.0,22.7,0,0,0.250175,0,0
11,WEDNESDAY,COMERCIAL,0.0600,0.99,19.66,0.0,21.0,0,0,0.073331,0,0
16,FRIDAY,COMERCIAL,0.0600,3.19,51.54,0.0,19.1,0,1,0.063442,0,0
13,SATURDAY,COMERCIAL,0.2500,1.87,21.71,1.8,22.3,0,1,0.323133,0,1
9,FRIDAY,RESIDENCIAL,0.1100,0.84,18.31,0.0,25.6,0,1,0.042952,0,0
18,TUESDAY,COMERCIAL,0.2200,1.74,51.75,0.0,23.4,0,0,0.299118,0,0
9,THURSDAY,RESIDENCIAL,0.1900,3.55,80.84,18.2,25.1,0,1,0.160180,0,0
15,MONDAY,COMERCIAL,0.0900,1.79,31.76,0.0,21.8,0,1,0.067094,0,0
12,THURSDAY,RESIDENCIAL,0.0800,3.63,57.86,0.0,21.3,0,0,0.092641,0,0
20,MONDAY,COMERCIAL,0.0800,7.24,83.73,0.0,26.8,0,1,0.164094,0,1
16,SATURDAY,RESIDENCIAL,0.2200,1.15,29.43,4.1,23.1,2,0,0.604194,0,0
12,SUNDAY,COMERCIAL,0.2200,1.34,69.63,0.0,20.3,1,0,0.700152,0,0
13,SUNDAY,CONDOMINIO,0.1200,0.27,6.88,1.7,14.9,0,0,0.108010,0,0
11,TUESDAY,CONDOMINIO,0.1200,4.52,61.20,0.0,25.8,0,1,0.087368,0,0
10,THURSDAY,COMERCIAL,0.0800,3.05,54.24,0.0,23.3,3,1,0.629299,0,1
8,MONDAY,CONDOMINIO,0.1900,0.37,41.10,0.0,27.6,1,0,0.362542,0,0
11,SATURDAY,CONDOMINIO,0.1200,2.97,35.28,3.4,24.2,0,1,0.078159,0,0
11,THURSDAY,RESIDENCIAL,0.1100,0.97,12.08,2.8,25.6,3,1,0.574582,0,1
13,WEDNESDAY,RESIDENCIAL,0.0500,3.39,39.46,0.0,18.7,0,0,0.073549,0,0
10,WEDNESDAY,RESIDENCIAL,0.0900,1.76,64.84,0.0,25.8,0,1,0.048770,0,0
10,FRIDAY,RURAL,0.1500,2.59,51.71,21.8,23.2,2,0,0.834324,0,1
7,WEDNESDAY,RESIDENCIAL,0.0800,3.16,63.07,0.0,29.9,0,1,0.052118,1,1
7,MONDAY,CONDOMINIO,0.0600,5.27,52.37,0.0,29.3,0,1,0.073593,0,0
14,SATURDAY,CONDOMINIO,0.3100,3.34,54.46,0.0,19.8,0,1,0.166220,0,0
14,MONDAY,CONDOMINIO,0.1900,2.24,66.58,0.0,12.8,1,0,0.386587,0,0
23,TUESDAY,RESIDENCIAL,0.1100,1.54,40.37,4.5,25.5,2,0,0.634711,0,1
17,SATURDAY,RESIDENCIAL,0.2200,4.30,62.61,4.9,17.0,0,0,0.160898,0,0
13,MONDAY,RESIDENCIAL,0.2800,6.19,36.38,0.0,22.8,0,1,0.116734,0,0
